,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
6692,412,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,107,0,0,78,0,29,0,0,0,0,0,0,0
6713,413,TAMPINES ST 41,4,1985,Y,N,N,N,N,N,TAP,24,0,0,16,8,0,0,0,0,0,0,0,0
6737,414,TAMPINES ST 41,10,1985,Y,N,N,Y,N,N,TAP,108,0,0,0,108,0,0,0,0,0,0,0,0
6756,415,TAMPINES ST 41,4,1985,Y,N,N,N,N,N,TAP,23,0,0,14,8,1,0,0,0,0,0,0,0
6781,416,TAMPINES ST 41,12,1985,Y,N,N,N,N,N,TAP,88,0,0,0,88,0,0,0,0,0,0,0,0
6802,417,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,150,0,0,142,0,8,0,0,0,0,0,0,0
6818,418,TAMPINES ST 41,12,1984,Y,N,N,Y,N,N,TAP,132,0,0,66,66,0,0,0,0,0,0,0,0
6835,419,TAMPINES ST 41,12,1984,Y,Y,N,N,N,N,TAP,162,0,0,99,61,2,0,0,0,0,0,0,0
6871,420,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
6890,421,TAMPINES ST 41,12,1984,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
6909,422,TAMPINES ST 41,4,1984,Y,N,N,N,N,N,TAP,32,0,0,16,16,0,0,0,0,0,0,0,0
6924,423,TAMPINES ST 41,12,1984,Y,Y,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0
6942,424,TAMPINES ST 41,12,1984,Y,N,N,Y,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
6963,425,TAMPINES ST 41,12,1985,Y,Y,N,N,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
6978,426,TAMPINES ST 41,13,1985,Y,N,N,N,N,N,TAP,72,0,0,0,0,0,72,0,0,0,0,0,0
6995,427,TAMPINES ST 41,13,1985,Y,N,N,Y,N,N,TAP,72,0,0,0,0,0,72,0,0,0,0,0,0
7006,428,TAMPINES ST 41,11,1985,Y,N,N,Y,N,N,TAP,80,0,0,0,0,0,80,0,0,0,0,0,0
7019,429,TAMPINES ST 41,11,1985,Y,N,N,N,N,N,TAP,80,0,0,0,0,0,80,0,0,0,0,0,0
7057,430,TAMPINES ST 41,13,1985,Y,N,N,Y,N,N,TAP,72,0,0,0,0,0,72,0,0,0,0,0,0
7077,431,TAMPINES ST 41,13,1985,Y,N,N,N,N,N,TAP,72,0,0,0,0,0,72,0,0,0,0,0,0
7099,432,TAMPINES ST 41,12,1985,Y,N,N,Y,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7119,433,TAMPINES ST 43,11,1985,Y,Y,N,N,N,N,TAP,91,0,0,55,36,0,0,0,0,0,0,0,0
7135,434,TAMPINES ST 43,12,1985,Y,N,N,Y,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7147,435,TAMPINES ST 43,4,1985,Y,N,N,N,N,N,TAP,32,0,0,0,32,0,0,0,0,0,0,0,0
7166,436,TAMPINES ST 43,12,1985,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7182,437,TAMPINES ST 43,12,1985,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7196,438,TAMPINES ST 43,12,1985,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7214,439,TAMPINES ST 43,4,1985,Y,N,N,N,N,N,TAP,24,0,0,16,8,0,0,0,0,0,0,0,0
7251,440,TAMPINES ST 43,12,1985,Y,Y,N,N,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7275,441,TAMPINES ST 43,4,1985,Y,N,N,N,N,N,TAP,40,0,0,0,0,0,0,0,0,25,15,0,0
7297,442,TAMPINES ST 43,4,1985,Y,N,N,N,N,N,TAP,80,0,0,0,0,0,0,0,0,42,38,0,0
7318,443,TAMPINES ST 43,12,1985,Y,N,N,Y,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7339,444,TAMPINES ST 42,12,1984,Y,N,N,Y,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7351,445,TAMPINES ST 42,11,1984,Y,Y,N,N,N,N,TAP,95,0,0,58,37,0,0,0,0,0,0,0,0
7374,446,TAMPINES ST 42,12,1984,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7392,447,TAMPINES ST 42,4,1984,Y,N,N,N,N,N,TAP,32,0,0,0,32,0,0,0,0,0,0,0,0
7408,448,TAMPINES ST 42,12,1984,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7428,449,TAMPINES ST 42,12,1984,Y,Y,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0
7460,450,TAMPINES ST 42,12,1984,Y,N,N,Y,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7465,450A,TAMPINES ST 42,11,1995,Y,Y,N,N,N,N,TAP,100,0,0,0,40,60,0,0,0,0,0,0,0
7468,450B,TAMPINES ST 42,5,1994,N,N,N,N,Y,N,TAP,0,0,0,0,0,0,0,0,0,0,0,0,0
7471,450C,TAMPINES ST 42,11,1995,Y,N,N,N,N,N,TAP,104,0,0,0,43,61,0,0,0,0,0,0,0
7473,450D,TAMPINES ST 42,11,1995,Y,N,N,N,N,N,TAP,84,0,0,0,43,41,0,0,0,0,0,0,0
7474,450E,TAMPINES ST 42,11,1995,Y,N,N,N,N,N,TAP,60,0,0,0,20,40,0,0,0,0,0,0,0
7475,450F,TAMPINES ST 42,11,1995,Y,N,N,N,N,N,TAP,60,0,0,0,20,40,0,0,0,0,0,0,0
7476,450G,TAMPINES ST 42,11,1995,Y,Y,N,N,N,N,TAP,80,0,0,0,40,40,0,0,0,0,0,0,0
7487,451,TAMPINES ST 42,12,1986,Y,Y,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0
7503,452,TAMPINES ST 42,4,1986,Y,N,N,N,N,N,TAP,32,0,0,16,16,0,0,0,0,0,0,0,0
7518,453,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7537,454,TAMPINES ST 42,11,1987,Y,N,N,N,N,N,TAP,50,0,0,0,0,0,0,50,0,0,0,0,0
7548,455,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7565,456,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0
7579,457,TAMPINES ST 42,4,1986,Y,N,N,N,N,N,TAP,16,0,0,0,10,6,0,0,0,0,0,0,0
7592,458,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,114,0,0,0,74,40,0,0,0,0,0,0,0
7607,459,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,136,0,0,0,136,0,0,0,0,0,0,0,0
7637,460,TAMPINES ST 42,11,1987,Y,N,N,Y,N,N,TAP,50,0,0,0,0,0,0,50,0,0,0,0,0
7655,461,TAMPINES ST 44,12,1985,Y,N,N,Y,N,N,TAP,88,0,0,0,48,40,0,0,0,0,0,0,0
7675,462,TAMPINES ST 44,11,1985,Y,Y,N,N,N,N,TAP,91,0,0,55,36,0,0,0,0,0,0,0,0
7698,463,TAMPINES ST 44,12,1985,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7714,464,TAMPINES ST 44,4,1985,Y,N,N,N,N,N,TAP,32,0,0,0,32,0,0,0,0,0,0,0,0
7732,465,TAMPINES ST 44,12,1985,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
7752,466,TAMPINES ST 44,4,1985,Y,N,N,N,N,N,TAP,80,0,0,0,0,0,0,0,0,42,38,0,0
7773,467,TAMPINES ST 44,12,1985,Y,N,N,N,N,N,TAP,110,0,0,66,44,0,0,0,0,0,0,0,0
